year_op;resource;import_price;export_price;emission_factor;total_emission_factor
2030;methane;33.2;0;0;0.037
2030;hydrogen;94.63;0;0;0.28
2030;coal;14.8;0;0;0.063
2030;lignite;;0;0;0.006
2030;heavy_oil;53.9;0;0;0.041
2030;light_oil;65.7;0;0;0.073
2030;uranium;2.2;0;0;0.002
2031;methane;33.2;0;0;0.037
2031;hydrogen;94.63;0;0;0.28
2031;coal;14.8;0;0;0.063
2031;lignite;;0;0;0.006
2031;heavy_oil;53.9;0;0;0.041
2031;light_oil;65.7;0;0;0.073
2031;uranium;2.2;0;0;0.002
2032;methane;33.2;0;0;0.037
2032;hydrogen;94.63;0;0;0.28
2032;coal;14.8;0;0;0.063
2032;lignite;;0;0;0.006
2032;heavy_oil;53.9;0;0;0.041
2032;light_oil;65.7;0;0;0.073
2032;uranium;2.2;0;0;0.002
2035;methane;35.25;0;0;0.037
2035;hydrogen;125.32;0;0;0.28
2035;coal;14.8;0;0;0.063
2035;lignite;;0;0;0.006
2035;heavy_oil;57.6;0;0;0.041
2035;light_oil;70.2;0;0;0.073
2035;uranium;2.2;0;0;0.002
2036;methane;35.25;0;0;0.037
2036;hydrogen;125.32;0;0;0.28
2036;coal;14.8;0;0;0.063
2036;lignite;;0;0;0.006
2036;heavy_oil;57.6;0;0;0.041
2036;light_oil;70.2;0;0;0.073
2036;uranium;2.2;0;0;0.002
2037;methane;35.25;0;0;0.037
2037;hydrogen;125.32;0;0;0.28
2037;coal;14.8;0;0;0.063
2037;lignite;;0;0;0.006
2037;heavy_oil;57.6;0;0;0.041
2037;light_oil;70.2;0;0;0.073
2037;uranium;2.2;0;0;0.002
2040;methane;37.3;0;0;0.037
2040;hydrogen;156.0;0;0;0.28
2040;coal;14.8;0;0;0.063
2040;lignite;;0;0;0.006
2040;heavy_oil;61.3;0;0;0.041
2040;light_oil;74.7;0;0;0.073
2040;uranium;2.2;0;0;0.002
2041;methane;37.3;0;0;0.037
2041;hydrogen;156.0;0;0;0.28
2041;coal;14.8;0;0;0.063
2041;lignite;;0;0;0.006
2041;heavy_oil;61.3;0;0;0.041
2041;light_oil;74.7;0;0;0.073
2041;uranium;2.2;0;0;0.002
2042;methane;37.3;0;0;0.037
2042;hydrogen;156.0;0;0;0.28
2042;coal;14.8;0;0;0.063
2042;lignite;;0;0;0.006
2042;heavy_oil;61.3;0;0;0.041
2042;light_oil;74.7;0;0;0.073
2042;uranium;2.2;0;0;0.002
2050;methane;35.5;0;0;0.037
2050;hydrogen;211.1;0;0;0.28
2050;coal;14.8;0;0;0.063
2050;lignite;;0;0;0.006
2050;heavy_oil;76.4;0;0;0.041
2050;light_oil;93.1;0;0;0.073
2050;uranium;2.2;0;0;0.002
2051;methane;35.5;0;0;0.037
2051;hydrogen;211.1;0;0;0.28
2051;coal;14.8;0;0;0.063
2051;lignite;;0;0;0.006
2051;heavy_oil;76.4;0;0;0.041
2051;light_oil;93.1;0;0;0.073
2051;uranium;2.2;0;0;0.002
2052;methane;35.5;0;0;0.037
2052;hydrogen;211.1;0;0;0.28
2052;coal;14.8;0;0;0.063
2052;lignite;;0;0;0.006
2052;heavy_oil;76.4;0;0;0.041
2052;light_oil;93.1;0;0;0.073
2052;uranium;2.2;0;0;0.002
